date,home,away,spread,homeWL,awayWL
1450152000000,BOS,CLE,-12,0.5833333333333334,0.6818181818181818
1450152000000,SAC,HOU,10,0.375,0.48
1450152000000,LAL,MIL,18,0.125,0.4
1450238400000,IND,DAL,26,0.6086956521739131,0.56
1450238400000,ORL,CHO,15,0.5416666666666666,0.6086956521739131
1450238400000,SAS,WAS,19,0.8076923076923077,0.43478260869565216
1450238400000,BRK,MIA,-6,0.2916666666666667,0.6086956521739131
1450238400000,CHI,MEM,13,0.6363636363636364,0.5384615384615384
1450238400000,OKC,POR,16,0.6666666666666666,0.4230769230769231
1450238400000,ATL,PHI,21,0.5384615384615384,0.038461538461538464
1450238400000,UTA,NOP,-10,0.43478260869565216,0.25
1450238400000,GSW,PHO,25,0.96,0.4230769230769231
1450238400000,DET,BOS,3,0.5384615384615384,0.56
1450238400000,LAC,MIL,13,0.6,0.38461538461538464
1450238400000,NYK,MIN,5,0.44,0.375
1450324800000,CLE,OKC,4,0.6956521739130435,0.68
1450324800000,LAL,HOU,-20,0.16,0.46153846153846156
1450324800000,CHO,TOR,10,0.5833333333333334,0.6153846153846154
1450411200000,DAL,MEM,9,0.5384615384615384,0.5185185185185185
1450411200000,ORL,POR,8,0.56,0.4074074074074074
1450411200000,CHI,DET,-3,0.6521739130434783,0.5555555555555556
1450411200000,SAS,LAC,8,0.8148148148148148,0.6153846153846154
1450411200000,PHO,NOP,16,0.4074074074074074,0.28
1450411200000,IND,BRK,7,0.625,0.28
1450411200000,PHI,NYK,-10,0.037037037037037035,0.46153846153846156
1450411200000,UTA,DEN,9,0.4166666666666667,0.44
1450411200000,BOS,ATL,-8,0.5384615384615384,0.5555555555555556
1450411200000,MIA,TOR,-14,0.625,0.5925925925925926
1450411200000,GSW,MIL,9,0.9615384615384616,0.37037037037037035
1450411200000,MIN,SAC,4,0.36,0.4
1450497600000,MEM,IND,12,0.5,0.64
1450497600000,NYK,CHI,16,0.48148148148148145,0.625
1450497600000,HOU,LAC,10,0.48148148148148145,0.5925925925925926
1450497600000,OKC,LAL,40,0.6538461538461539,0.15384615384615385
1450497600000,WAS,CHO,8,0.4166666666666667,0.6
1450584000000,BRK,MIN,-15,0.2692307692307692,0.38461538461538464
1450584000000,MIA,POR,7,0.6,0.39285714285714285
1450584000000,PHO,MIL,-6,0.42857142857142855,0.35714285714285715
1450584000000,CLE,PHI,22,0.7083333333333334,0.03571428571428571
1450584000000,ORL,ATL,-3,0.5769230769230769,0.5714285714285714
